Compound Name	Enzyme Name	Encoding Gene	KEGG Orthology	Organism	GenBankID	Strain ID/Microorganism	UniProt ID	Protein ID	Continent where study sampling was done (Collections)	Country	Isolation source	Habitat notes
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 2	bphC	K00462	Bacteria	FKLB01000022	Pseudomonas sp. 1 R 17	A0A1C3GM01	SAM31340.1	Europe	United Kingdom	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CABVHP010000002	Pseudomonas fluorescens isolate PS704	A0A5E7AMU5	VVN79200.1	Europe	United Kingdom	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	NPKT01000024	Mycolicibacterium sp. P1-5	A0A5A7YN06	KAA0102819.1	Europe	Austria	Root	Host: Solanum tuberosum cv. Romina
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CABVHJ010000002	Pseudomonas fluorescens isolate PS655	A0A5E6Q4Q4	VVM50851.1	Europe	United Kingdom	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	NPKT01000024	Mycolicibacterium sp. P1-5	A0A5A7YKA2	KAA0102815.1	Europe	Austria	Root	Host: Solanum tuberosum cv. Romina
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase BPHC (23OHBP oxygenase) (EC 1.13.11.-) (EC 1.13.11.39)	bphC	K00462	Bacteria	LR134347	Mycolicibacterium phlei (Mycobacterium phlei) strain NCTC8151	A0A448H0N4	VEG14697.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	NPKO01000003	Mycolicibacterium sp. P9-64	A0A5A7WVN9	KAA0084612.1	Europe	Austria	Root	Host: Solanum tuberosum cv. Romina
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 2	bphC	K00462	Bacteria	CVTG01000037	Pseudomonas sp. 24 E 1	A0A1B5DRF4	CRM51320.1	Europe	United Kingdom	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Glyoxalase (EC 1.13.11.39)	bphC	K00462	Bacteria	UGLI01000001	Klebsiella pneumoniae strain NCTC1936	A0A377X9M8	STT68782.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	BEID01000181	Bacterium HR27	A0A2H5YZ94	GBD18757.1	Asia	Japan	Ammonia-oxidizing enrichment culture	Thermophilic ammonia-oxidizing enrichment culture
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CP050952	Rhodococcus sp. DMU1	A0A6H1C512	QIX52064.1	Asia	China	Activated sludge in our lab	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	UGTG01000002	Pluralibacter gergoviae (Enterobacter gergoviae) strain NCTC11434	A0A379D615	SUB73436.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CP033897	Corynebacterium geronticis strain W8	A0A3G6J4E4	AZA10944.1	Europe	Germany	Choana	Host: Geronticus eremita
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	UGTG01000002	Pluralibacter gergoviae (Enterobacter gergoviae) strain NCTC11434	A0A379D0I7	SUB71350.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CABPSL010000001	Pandoraea cepalis sp. LMG 31106	A0A5E4S4S0	VVD70365.1	Europe	Belgium	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase III (EC 1.13.11.39)	bphC	K00462	Bacteria	LR134355	Mycolicibacterium chitae (Mycobacterium chitae) strain NCTC10485	A0A448I9J4	VEG49090.1	Europe	United Kingdom	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Oxidoreductase (EC 1.13.11.39)	bphC	K00462	Bacteria	UGUZ01000001	Pseudomonas putida (Arthrobacter siderocapsulatus) strain NCTC912	A0A379L4A6	SUD79729.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 2 (EC 1.13.11.39)	bphC	K00462	Bacteria	AZND01000173	Methylibium sp. T29	W7W1L4	EWS53719.1	Europe	Hungary	Water	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CP034152	Rhodococcus sp. NJ-530	A0A3G9A3G4	AZI64150.1	Antarctica	Zhongshan Station	Antarctic sea ice	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CABPSL010000003	Pandoraea cepalis sp. LMG 31106	A0A5E4TBA5	VVD85215.1	Europe	Belgium	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CABPRY010000001	Pandoraea cepalis strain LMG 31107	A0A5E4SDX1	VVD72259.1	Europe	Belgium	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	UXAV01000042	Filibacter tadaridae isolate aTB-66	A0A3P5X5Q0	VDC29625.1	Europe	France	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	LAJH01000009	Shimia sp. SK013	A0A0M9EK50	KPA22943.1	Europe	Norway	Norwegian Sea marine sediment	Marine environmental zone
Dichlorodiphenyltrichloroethane (DDT)	Glyoxalase/bleomycin resistance protein/dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	UGQY01000001	Mycolicibacterium fortuitum (Mycobacterium fortuitum) strain NCTC1542	A0A378U747	STZ72643.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	PTLH01000010	Alphaproteobacteria bacterium MarineAlpha3_Bin6	A0A2S6TFK6	PPR59070.1	Atlantic Ocean	Northern Atlantic Ocean	Ocean water	Marine environmental zone
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 2 (EC 1.13.11.39)	bphC	K00462	Bacteria	VTFG01000001	Pseudomonas panacis strain PgKB35	A0A5M9IBK8	KAA8554111.1	Asia	South Korea	Seedlings	Host: Panax ginseng
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	LZRD01000001	Streptomyces sp. PTY087I2	A0A1B9F1Z0	OCC13825.1	Central America	Panama	n/a	Host: Styela canopus
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 2 (EC 1.13.11.39)	bphC	K00462	Bacteria	PTLH01000107	Alphaproteobacteria bacterium MarineAlpha3_Bin6	A0A2S6T816	PPR56440.1	Atlantic Ocean	Northern Atlantic Ocean	Ocean water	Marine environmental zone
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	BEHY01000016	Bacterium HR22	A0A2H5Y5Z0	GBD08728.1	Asia	Japan	Ammonia-oxidizing enrichment culture	Thermophilic ammonia-oxidizing enrichment culture
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CABPSN010000010	Pandoraea aquatica sp. LMG 31011	A0A5E4YV01	VVE52689.1	Europe	Belgium	Water	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CADIKM010000023	Pararobbsia alpina strain LMG 28138	A0A6S7CRR8	CAB3796265.1	Europe	Belgium	Volcanic soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CYSA01000026	Thalassobius gelatinovorus (Ruegeria gelatinovora) strain CECT 4357	A0A0P1G4H8	CUH67157.1	Europe	South Korea	Sea water Kiel fjord	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 3 (EC 1.13.11.39)	bphC	K00462	Bacteria	UGQY01000003	Mycolicibacterium fortuitum (Mycobacterium fortuitum) strain NCTC1542	A0A378UWN4	STZ88627.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CADIKM010000108	Pararobbsia alpina strain LMG 28138	A0A6S7D5X2	CAB3807734.1	Europe	Belgium	Volcanic soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-23-diol 12-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	UGQY01000001	Mycolicibacterium fortuitum (Mycobacterium fortuitum)  strain NCTC1542	A0A378U8J3	STZ73113.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	VHPZ01000009	Mycolicibacterium fortuitum (Mycobacterium fortuitum) strain MTB7	A0A506ZRB6	TPW96583.1	Africa	Morocco	Sputum	Host: Homo sapiens
Dichlorodiphenyltrichloroethane (DDT)	Glyoxalase/bleomycin resistance protein/dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	UGQY01000001	Mycolicibacterium fortuitum (Mycobacterium fortuitum) strain NCTC1542	A0A378U5D3	STZ72637.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase BPHC (23OHBP oxygenase)	bphC	K00462	Bacteria	HG964446	Mycobacterium triplex DSM 44626	A0A024K688	CDO91087.1	Europe	France	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	UGRU01000001	Nocardia africana strain NCTC13184	A0A378X0M5	SUA46385.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	UGRU01000001	Nocardia africana strain NCTC13184	A0A378WY50	SUA46266.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	LROM01000079	Duganella phyllosphaerae strain T54	A0A1E7WQ53	OFA01634.1	Europe	Germany	Leaf surface	Host: Trifolium repens
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 3 (EC 1.13.11.39)	bphC	K00462	Bacteria	CSZT01000009	Mycobacteroides abscessus isolate 16_c	A0A655KU37	CPZ53401.1	Europe	United Kingdom	Sputum	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	ONZI01000001	Kushneria phyllosphaerae sp. EAod3	A0A2R8CHP7	SPJ32435.1	Europe	Spain	Aerial part of Arthrocnemum macrostachyum	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	BCMM01000019	Streptomyces scabiei strain S58	A0A100JQC2	GAQ63744.1	Asia	Japan	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 2 (EC 1.13.11.39)	bphC	K00462	Bacteria	BCMM01000001	Streptomyces scabiei strain S58	A0A100JHS1	GAQ59791.1	Asia	Japan	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	BCMM01000013	Streptomyces scabiei strain S58	A0A100JNH1	GAQ62712.1	Asia	Japan	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	SRXW01000002	Marinicauda algicola strain JCM 31718	A0A4S2H056	TGY88784.1	Asia	South Korea	Marine red alga	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CP032155	Mycobacterium sp. ELW1	A0A5C1R2V4	QEN14377.1	North America	America	Stream sediment	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CP032155	Mycobacterium sp. ELW1	A0A5C1R488	QEN14389.1	North America	America	Stream sediment	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 1 extradiol ring-cleavage dioxygenase family (EC 1.13.11.39)	bphC	K00462	Bacteria	OFSV01000026	Cupriavidus taiwanensis isolate Cupriavidus taiwanensis STM 6162	A0A375D712	SOY99089.1	Europe	France	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	QWLA01000030	Calidithermus roseus strain NBRC	A0A399EP26	RIH86377.1	Asia	China	Hot spring sediment	Geothermal environment
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 1 extradiol ring-cleavage dioxygenase family (EC 1.13.11.39)	bphC	K00462	Bacteria	OFSN01000022	Cupriavidus taiwanensis isolate Cupriavidus taiwanensis LMG 19430	A0A375CL71	SOY75111.1	Europe	France	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 1 extradiol ring-cleavage dioxygenase family (EC 1.13.11.39)	bphC	K00462	Bacteria	LT976874	Cupriavidus taiwanensis isolate Cupriavidus taiwanensis STM 6043	A0A375DP61	SOZ09832.1	Europe	France	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 1 extradiol ring-cleavage dioxygenase family (EC 1.13.11.39)	bphC	K00462	Bacteria	OFTH01000048	Cupriavidus taiwanensis isolate Cupriavidus taiwanensis STM 8556	A0A375EFB6	SOZ73684.1	Europe	France	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 1 extradiol ring-cleavage dioxygenase family (EC 1.13.11.39)	bphC	K00462	Bacteria	OVTA01000047	Cupriavidus taiwanensis isolate Cupriavidus taiwanensis cmp 52	A0A375J9U6	SPS01887.1	Europe	France	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	NPKR01000007	Mycolicibacterium sp. P1-18	A0A5A7XWI3	KAA0096908.1	Europe	Austria	Root	Host: Solanum tuberosum cv. Romina
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 1 extradiol ring-cleavage dioxygenase family (EC 1.13.11.39)	bphC	K00462	Bacteria	LT977071	Cupriavidus taiwanensis isolate Cupriavidus taiwanensis SWF 65033	A0A375FDA7	SPA54549.1	Europe	France	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CYSR01000011	Leisingera aquaemixtae strain CECT 8399	A0A0P1H7L3	CUH99278.1	Asia	South Korea	Sea water mixed with spring water, Jeju Island	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 1 extradiol ring-cleavage dioxygenase family (EC 1.13.11.39)	bphC	K00462	Bacteria	OFSP01000032	Cupriavidus taiwanensis isolate Cupriavidus taiwanensis STM 3521	A0A375C077	SOY60268.1	Europe	France	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	JAAGUZ010000121	Nocardia cyriacigeorgica strain CNM20110639	A0A6P1DHD1	NEW48070.1	South America	Venezuela	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 2 (EC 1.13.11.39)	bphC	K00462	Bacteria	RPGV01000147	Streptomyces sp. ADI95-17	A0A3N6HN21	RPK66039.1	Europe	Norway	Tautra underwater ridge at Trondheim Fjord	Host: Antho dichotoma
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	QJNR01000004	Ensifer sp. M14	A0A395LBK0	RDL50404.1	Europe	Poland	Zloty Stock gold mine	Arsenic contaminated soil. Microbial mats present in the arsenic-rich bottom sediments of an abandoned gold mine in Zloty Stok
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 2 (EC 1.13.11.39)	bphC	K00462	Bacteria	NGAF01000003	Nocardia cerradoensis strain CNM20130759	A0A231H9S5	OXR45608.1	Europe	Spain	Knee abscess	Host: Homo sapiens
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 2 (EC 1.13.11.39)	bphC	K00462	Bacteria	CADIKF010000031	Paraburkholderia solisilvae strain LMG 29739	A0A6J5E9H3	CAB3762244.1	Europe	Belgium	Forest soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	NGAF01000018	Nocardia cerradoensis strain CNM20130759	A0A231GYC8	OXR41599.1	Europe	Spain	Knee abscess	Host: Homo sapiens
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	QWKZ01000159	Meiothermus luteus strain KCTC	A0A399E9Q8	RIH81474.1	Asia	China	Hot spring sediment	Geothermal environment
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	QWKZ01000108	Meiothermus luteus strain KCTC 52599	A0A399EF99	RIH82466.1	Asia	China	Hot spring sediment	Geothermal environment
Dichlorodiphenyltrichloroethane (DDT)	2,3-dihydroxybiphenyl dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	AJ536756	Cupriavidus oxalaticus strain A5	Q84EP0	CAD61144.1	Europe	Belgium	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CP059491	Gordoniaceae bacterium zg-686	A0A7D7LTZ6	QMS99838.1	Asia	China	Feces	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	GQ403988	Sphingomonas sp. DN1	C8CHQ8	ACV31378.1	Asia	China	Soil	PCB-contaminated soil
Dichlorodiphenyltrichloroethane (DDT)	2,3-dihydroxybiphenyl-1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	AY458639	Uncultured marine bacterium 442 clone EBAC000-63A02	Q6SH79	AAR37740.1	North America	America	Marine waters	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase	bphC	K00462	Bacteria	AB091692	Sphingomonas sp. P2	Q7DG81	BAC65429.1	Asia	Japan	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CABDVR010000001	Raoultella planticola (Klebsiella planticola) strain NCTC9527	A0A4P1BFP6	VTM94498.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	2,3-dihydroxybiphenyl 1,2-dioxygenase (Biphenyl-2,3-diol 1,2-dioxygenase) (Naphthalene 1,2-dioxygenase)	bphC	K00462	Bacteria	U23374	Sphingobium yanoikuyae (Sphingomonas yanoikuyae) strain B1	Q6LCU9	AAB03689.1	North America	America	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	2, 3-dihydroxybiphenyl 1, 2-dioxygenase (Biphenyl-2,3-diol 1,2-dioxygenase) (EC 1.13.11.39)	bphC	K00462	Bacteria	WWKK01000009	Rhodococcus erythropolis (Arthrobacter picolinophilus) strain DSM 6344	A0A6G9D0Y3	MYV30021.1	Asia	South Korea	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase	bphC	K00462	Bacteria	BATN01000019	Sphingobium barthaii sp. KK22	A0A0A8XA30	GAM16788.1	North America	America	Pasture soil	Sample taken from a bacterial consortium that originated from cattle pasture soil from Texas.
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CP045372	Sulfitobacter sp. THAF37	A0A5P9F4I3	QFT57615.1	Europe	Germany	Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C	Animal Facility
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase	bphC	K00462	Bacteria	NVUF01000041	Piscirickettsiaceae bacterium isolate NORP96	A0A2A4W769	PCI65607.1	Atlantic Ocean	North Pond	Marine subsurface aquifer	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	RDQN01000001	Pseudoxanthomonas spadix strain DSM 18855	A0A3M6Q4X8	RMW98247.1	Asia	China	Soil	Oil-contaminated soil
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase 2 (EC 1.13.11.39)	bphC	K00462	Bacteria	FCOA02000004	Caballeronia hypogeia strain LMG 29322	A0A158A7Z3	SAK53893.1	Europe	Belgium	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	FUUY01000010	Acinetobacter johnsonii isolate C6	A0A1R7QFU4	SJX23077.1	Europe	Denmark	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	MLCB01000061	Planktotalea frisia strain SH6-1	A0A1L9P0I4	OJI95065.1	Europe	Germany	Phytoplankton bloom	Marine environmental zone
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CABPST010000016	Pandoraea bronchicola sp. LMG 20603	A0A5E5BXZ5	VVE90484.1	Europe	Belgium	Cystic fibrosis patient	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase	bphC	K00462	Bacteria	PDHO01000024	Mycobacterium sp. ENV421	A0A2N8LIM1	PND55460.1	North America	America	Soil	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	AZIN01000001	Gammaproteobacteria bacterium MOLA455	W2UG80	ETN93053.1	Europe	France	Mediterranean seawater	Marine environmental zone
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	LN868938	Nocardia farcinica strain NCTC11134	A0A0H5NDV5	CRY73773.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	LN868938	Nocardia farcinica strain NCTC11134	A0A0H5NEM8	CRY73764.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase	bphC	K00462	Bacteria	NOZR01000034	Mycolicibacterium sphagni strain ATCC 33027	A0A255DH36	OYN74933.1	Europe	Italy	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase	bphC	K00462	Bacteria	NOZR01000034	Mycolicibacterium sphagni strain ATCC 33027	A0A255D8J3	OYN74941.1	Europe	Italy	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	LN868938	Nocardia farcinica strain NCTC11134	A0A0H5NG23	CRY74855.1	Europe	United Kingdom	n/a	n/a
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CP046120	Novosphingobium sp. Gsoil 351	A0A6I5WWC8	QGN54018.1	Asia	South Korea	Soil	Ginseng cultivating soil
Dichlorodiphenyltrichloroethane (DDT)	Manganese-dependent 2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CYTW01000001	Shimia thalassica sp. CECT 7735	A0A0P1ILN7	CUJ83242.1	Europe	Spain	Seawater	Surface sea water collected at Malvarrosa Beach
Dichlorodiphenyltrichloroethane (DDT)	Biphenyl-2,3-diol 1,2-dioxygenase (EC 1.13.11.39)	bphC	K00462	Bacteria	CADIKL010000011	Paraburkholderia caffeinitolerans strain LMG 28688	A0A6J5FWI9	CAB3788771.1	Europe	Belgium	Soil	Tea plantation soil
